,GBP,HKD,IDR,ILS,DKK,INR,CHF,MXN,CZK,SGD,THB,HRK,EUR,MYR,NOK,CNY,BGN,PHP,PLN,ZAR,CAD,ISK,BRL,RON,NZD,TRY,JPY,RUB,KRW,USD,AUD,HUF,SEK
2020-03-10,0.7672080773,7.7696224759,14294.9956101844,3.5247585601,6.5596136962,73.8454784899,0.9301141352,20.960403863,22.5856014047,1.3886742757,31.4389815628,6.6220368745,0.8779631255,4.2374890255,9.5200175593,6.9569798068,1.7171202809,50.5153643547,3.7980684811,15.9434591747,1.3677787533,127.5680421422,4.6745390694,4.2298507463,1.5808604039,6.1355575066,104.1703248464,71.639596137,1191.5013169447,1.0,1.5256365233,295.1712028095,9.4833187006
2020-03-09,0.7627706006,7.7724336592,14392.5017458101,3.515625,6.5201641061,74.1620111732,0.9247555866,21.2349860335,22.2625698324,1.3827688547,31.4952863128,6.5904329609,0.8729050279,4.2164804469,9.5059357542,6.9483240223,1.7072276536,50.6398393855,3.7650139665,15.9652583799,1.3628666201,126.5712290503,4.750174581,4.2052199721,1.5730621508,6.1105097765,102.2346368715,74.3324895251,1199.9912709497,1.0,1.5127444134,293.5143156425,9.3578037709
2020-03-08,0.7689220183,7.7707304164,14606.995412844,3.4911785462,6.5893613267,73.7350035286,0.9341037403,20.2856386733,22.4576570219,1.3787932251,31.4396612562,6.6191778405,0.8821453776,4.1720183486,9.2610268172,6.9258115737,1.7252999294,50.7604093155,3.7969301341,15.7475299929,1.3420077629,126.1467889908,4.6531404375,4.2440014114,1.5753352152,6.1052399435,105.0458715596,68.371383204,1192.334156669,1.0,1.5087332392,295.9421312632,9.3635321101
2020-03-07,0.7689220183,7.7707304164,14606.995412844,3.4911785462,6.5893613267,73.7350035286,0.9341037403,20.2856386733,22.4576570219,1.3787932251,31.4396612562,6.6191778405,0.8821453776,4.1720183486,9.2610268172,6.9258115737,1.7252999294,50.7604093155,3.7969301341,15.7475299929,1.3420077629,126.1467889908,4.6531404375,4.2440014114,1.5753352152,6.1052399435,105.0458715596,68.371383204,1192.334156669,1.0,1.5087332392,295.9421312632,9.3635321101
2020-03-06,0.7689220183,7.7707304164,14606.995412844,3.4911785462,6.5893613267,73.7350035286,0.9341037403,20.2856386733,22.4576570219,1.3787932251,31.4396612562,6.6191778405,0.8821453776,4.1720183486,9.2610268172,6.9258115737,1.7252999294,50.7604093155,3.7969301341,15.7475299929,1.3420077629,126.1467889908,4.6531404375,4.2440014114,1.5753352152,6.1052399435,105.0458715596,68.371383204,1192.334156669,1.0,1.5087332392,295.9421312632,9.3635321101
2020-03-05,0.7747385358,7.771162957,14170.0008938947,3.4695628855,6.6784660767,73.4361312237,0.9531599178,19.7315634218,22.656655046,1.3850898364,31.5500134084,6.6957182444,0.8938946992,4.1594708143,9.2705819254,6.934745687,1.7482792527,50.7598104943,3.8463395012,15.4416733709,1.3427192277,127.1118262269,4.6017699115,4.3005273979,1.5861267543,6.0818807544,106.9366228658,66.4226334138,1186.2072047913,1.0,1.5122016626,300.0804505229,9.4676857066
2020-03-04,0.7806741573,7.7696179775,14115.002247191,3.4562696629,6.7170337079,73.2606741573,0.9570337079,19.2453932584,22.7775280899,1.3842696629,31.3402247191,6.7279101124,0.8988764045,4.1789662921,9.263011236,6.9226067416,1.7580224719,50.5959550562,3.8622921348,15.2614831461,1.3359101124,127.8202247191,4.507505618,4.3211685393,1.5880449438,6.0968988764,107.4876404494,65.8139325843,1181.9865168539,1.0,1.5095730337,301.0876404494,9.4880898876
2020-03-03,0.7826751822,7.7782675182,14281.7306827382,3.460465953,6.7221372672,73.2472789422,0.9576324548,19.4835837006,22.9153548619,1.3923720428,31.5399838086,6.7332014033,0.8995232527,4.2059908249,9.2945938653,6.9777817757,1.7592875776,50.7933795089,3.8828820725,15.583790591,1.3364216965,128.5418728074,4.5004947378,4.3255374651,1.5946748223,6.1730682738,107.735899973,66.5692183143,1194.1980750202,1.0,1.5211837726,302.851488711,9.498066025
2020-03-02,0.7832494156,7.7796259666,14304.4506383744,3.4909188995,6.719115267,72.7540010789,0.9580111491,19.7772882575,22.9500089912,1.3890487322,31.4403884193,6.7285560151,0.8991188635,4.2034705988,9.3547023917,6.9653839238,1.7584966733,50.810106096,3.8910267937,15.6628304262,1.3358208955,127.4051429599,4.4900197806,4.3253012048,1.5948570401,6.2266678655,107.7324222262,67.0383024636,1192.0967451897,1.0,1.5283222442,302.9311274951,9.5363244021
2020-03-01,0.7772159971,7.7935683702,14347.4993167532,3.4665209074,6.807233306,72.228295527,0.9669308554,19.7112143573,23.1301812881,1.3953721418,31.5496037169,6.804682518,0.9109957183,4.2145394917,9.4641523185,6.9838753758,1.7817254259,51.0403571103,3.9408763779,15.5744739,1.3443563815,126.901703562,4.4850141204,4.3846223923,1.6040812608,6.2264735356,108.7364489387,67.0580304273,1207.0511068598,1.0,1.5373052747,307.5248246333,9.7237860982
